Station,Date,NITRATE(PPM),PH,AMMONIA(mg/l),TEMP,DO,TURBIDITY,MANGANESE(mg/l)
station1,01-02-2022 08:00,18.3,5.7,0,17.69,11.6,86.1,0.71
station1,01-02-2022 08:20,3.6,5.1,0,19.42,10.5,71.8,0.62
station1,01-02-2022 08:40,13.1,5.5,0,18.6,10.3,75.9,0.73
station1,01-02-2022 09:00,18.1,5.2,0.1,19.1,9.4,70.3,0.64
station1,01-02-2022 09:20,10.8,5.2,0.1,18.57,8.8,66.9,0.68
station1,01-02-2022 09:40,1.8,5,0,16.48,7.3,13,0.67
station1,01-02-2022 10:00,22,5.3,0,14.33,11.5,47.2,0.63
station1,01-02-2022 10:20,17.7,5.9,0,15.89,9.6,18,0.7
station1,01-02-2022 10:40,10.7,5.8,0.1,14.95,10.9,63.7,0.64
station1,01-02-2022 11:00,1.4,5,0.1,18.17,6,41.2,0.68
station1,01-02-2022 11:20,8.4,5.4,0,15.3,9.5,36,0.64
station1,01-02-2022 11:40,11.4,5.4,0,19.93,7.6,12.6,0.61
station1,01-02-2022 12:00,20.5,5,0,14.36,6.8,11.7,0.6
station1,01-02-2022 12:20,12.5,5.8,0.1,14.74,6.1,82,0.72
station1,01-02-2022 12:40,5,6,0,15.93,7.9,42.3,0.72
station1,01-02-2022 13:00,25,5,0.1,18.94,6.8,51.9,0.66
station1,01-02-2022 13:20,27.5,5.6,0.1,18.23,12,9.7,0.71
station1,01-02-2022 13:40,0.9,5.5,0,19.15,10.3,66.8,0.68
station1,01-02-2022 14:00,29.1,5.3,0.1,18.65,8.8,46.5,0.64
station1,01-02-2022 14:20,3.9,5.4,0,17.66,6.7,35.8,0.72
station1,01-02-2022 14:40,15.3,5,0,18.98,11.2,76.9,0.64
station1,01-02-2022 15:00,17.9,5.4,0,19.46,11.2,85.5,0.71
station1,01-02-2022 15:20,12.3,5.7,0,16.44,6.1,61.5,0.74
station1,01-02-2022 15:40,29.7,5.8,0.1,14.14,9.3,84.3,0.71
station1,01-02-2022 16:00,8.1,5.2,0,15.53,7.2,86.4,0.75
station1,01-02-2022 16:20,3.9,5.3,0,15.87,11.5,9.3,0.69
station1,01-02-2022 16:40,1,5.5,0.1,19.06,6.5,35.4,0.7
station1,01-02-2022 17:00,23.6,5.1,0.1,15.03,7,82.6,0.66
station1,01-02-2022 17:20,29.9,5.7,0.1,19.64,6.6,70.4,0.65
station1,01-02-2022 17:40,6.5,5.7,0.1,18.27,8.8,45.2,0.75
station1,01-02-2022 18:00,24.2,6,0.1,15.92,8.8,21.1,0.65
station1,01-02-2022 18:20,2.6,6,0,17.78,7.4,49.7,0.65
station1,01-02-2022 18:40,20.5,6,0.1,18.88,9.1,67.2,0.62
station1,01-02-2022 19:00,27.6,5.3,0,16.77,7.7,78,0.66
station1,01-02-2022 19:20,19.7,6,0.1,17.76,9.7,35.7,0.74
station1,01-02-2022 19:40,21.5,5.9,0,19.82,6,69.7,0.62
station1,01-02-2022 20:00,16.2,5.4,0.1,17.18,8.9,64.5,0.69
station1,01-02-2022 20:20,19.1,5,0.1,14.49,9.3,10.4,0.74
station1,01-02-2022 20:40,11.3,5.1,0,15.41,10.8,14.7,0.68
station1,01-02-2022 21:00,0.3,5.4,0,14.27,8,13.3,0.62
station1,01-02-2022 21:20,22.1,5.2,0,18.21,8.9,17.2,0.6
station1,01-02-2022 21:40,1.7,5.2,0.1,16.8,9.6,9.4,0.65
station1,01-02-2022 22:00,16.5,5.3,0,18.71,11.6,7.1,0.65
station1,01-02-2022 22:20,21.2,5.3,0.1,18.86,8.9,33.8,0.74
station1,01-02-2022 22:40,21.2,5.4,0,15.23,10,4.9,0.73
station1,01-02-2022 23:00,22.6,5.6,0,19.03,9.9,29.5,0.74
station1,01-02-2022 23:20,13.3,5.2,0.1,15.89,8.8,65.8,0.7
station1,01-02-2022 23:40,29.6,5.7,0.1,17.03,12,20.2,0.62
station1,02-02-2022 00:00,0.9,5.9,0,19.66,10.4,76.8,0.66
station1,02-02-2022 00:20,28.6,5.6,0,16.17,8.3,5.2,0.65
station1,02-02-2022 00:40,14,5.8,0.1,16.24,6.3,3.8,0.66
station1,02-02-2022 01:00,5.6,5.4,0.1,14.33,6.4,17.1,0.66
station1,02-02-2022 01:20,20.7,5.3,0,16.03,10.1,64.1,0.72
station1,02-02-2022 01:40,7.3,5,0.1,16.18,11.2,62.4,0.67
station1,02-02-2022 02:00,11.4,5.5,0,14.85,6.1,58.2,0.74
station1,02-02-2022 02:20,9.3,5.5,0.1,17.66,7.2,61.6,0.61
station1,02-02-2022 02:40,29.5,5.5,0,15.42,9.7,28.9,0.6
station1,02-02-2022 03:00,26.2,5.8,0.1,14.52,9.5,4.5,0.7
station1,02-02-2022 03:20,22.6,5,0,15.92,12,12.3,0.72
station1,02-02-2022 03:40,14.6,6,0.1,17.47,7,69.6,0.63
station1,02-02-2022 04:00,25.6,5.3,0.1,19.75,11.4,70.9,0.6
station1,02-02-2022 04:20,25.5,5.1,0.1,14.67,9.8,44.9,0.7
station1,02-02-2022 04:40,11.9,5.3,0.1,16.98,9.4,85.2,0.65
station1,02-02-2022 05:00,6.6,6,0,15.95,6.6,87.2,0.66
station1,02-02-2022 05:20,0.9,5.6,0,18.16,9.4,8.3,0.72
station1,02-02-2022 05:40,19,5.8,0.1,16.43,6.2,83.2,0.71
station1,02-02-2022 06:00,0.4,5.9,0.1,15.1,7.6,51.8,0.6
station1,02-02-2022 06:20,6.3,6,0,17.39,8.4,84.3,0.71
station1,02-02-2022 06:40,25.7,5.8,0.1,18.35,9.8,79.3,0.68
station1,02-02-2022 07:00,5.4,5.2,0,19.36,8.5,25.5,0.72
station1,02-02-2022 07:20,17.5,6,0,17.34,6.2,65.2,0.68
station1,02-02-2022 07:40,28.4,5,0.1,15.2,8.5,75.3,0.66
station1,02-02-2022 08:00,10.7,5.8,0,15.82,9.8,43.1,0.64
station1,02-02-2022 08:20,26.7,5.1,0.1,15,11.7,81.5,0.63
station1,02-02-2022 08:40,26.3,5.2,0.1,16.13,10.9,25.2,0.72
station1,02-02-2022 09:00,14.5,5.7,0.1,17.47,6.8,42.1,0.7
station1,02-02-2022 09:20,1.5,5.9,0.1,16.13,11.9,55.3,0.67
station1,02-02-2022 09:40,0.3,5.1,0,14.14,8.2,56.5,0.7
station1,02-02-2022 10:00,17.4,5.5,0,15.7,7.3,82.7,0.65
station1,02-02-2022 10:20,12.9,5.9,0.1,16.25,9.2,86.5,0.73
station1,02-02-2022 10:40,1.5,5.8,0,16.87,6.4,46.5,0.65
station1,02-02-2022 11:00,18.9,5.9,0.1,18.79,10.6,78.4,0.7
station1,02-02-2022 11:20,12.5,5.8,0.1,16.46,9.5,42.5,0.64
