Feature,Importance
NITRATE_x_MN,0.25317382018258006
MANGANESE(mg/l),0.1659206205742337
NITRATE(PPM),0.14662021598730196
NITRATE_TURB_ratio,0.06124610298567139
AMMONIA(mg/l),0.05851264575612115
MN_TURB_ratio,0.04954829316467486
NITRATE_DO_ratio,0.033184512644759495
station_enc,0.025083989331951335
month_sin,0.02373332556106417
DO_persen_saturasi,0.02322594897595778
DO_deficit,0.022262086418181795
TEMP_dist_optimal,0.020147236345384314
DO,0.019895592343365825
TURBIDITY,0.013170043624587548
TEMP,0.012176447753957962
DO_x_PH,0.01114570793164367
TEMP_DO_ratio,0.00940769884293111
TEMP_x_TURB,0.006986908462537173
TURB_DO_ratio,0.00680506265260812
TEMP_PH_ratio,0.006796067526954768
month_cos,0.005782488001601365
PH,0.005026853238464464
NH3_fraction,0.004674369488600349
PH_dist_optimal,0.004118372490507553
NH3_toxic,0.003987363439460879
hour,0.0027578052103575737
hour_sin,0.0023485937036445003
hour_cos,0.002261827360895084
