station,Date,Time,NITRATE(PPM),PH,AMMONIA(mg/l),TEMP,DO,TURBIDITY,MANGANESE(mg/l),label
station1,01-02-2022,08:00:00,18.3,5.7,0.01,23.2,11.6,31.7,0.71,0
station1,01-02-2022,08:20:00,3.6,5.1,0.094,23.41,10.5,18.8,0.62,0
station1,01-02-2022,08:40:00,13.1,5.5,0.06,23.63,10.3,23.2,0.73,0
station1,01-02-2022,09:00:00,18.1,5.2,0.018,23.64,9.4,26.7,0.64,0
station1,01-02-2022,09:20:00,10.8,5.2,0.038,23.81,8.8,19.5,0.68,0
station1,01-02-2022,09:40:00,1.8,5,0.039,23.85,7.3,18.8,0.67,0
station1,01-02-2022,10:00:00,22,5.3,0.057,24.1,11.5,32,0.63,0
station1,01-02-2022,10:20:00,17.7,5.9,0.056,24.21,9.6,20.5,0.7,0
station1,01-02-2022,10:40:00,10.7,5.8,0.065,24.31,10.9,30.3,0.64,0
station1,01-02-2022,11:00:00,1.4,5,0.006,24.35,6,31.9,0.68,0
station1,01-02-2022,11:20:00,8.4,5.4,0.013,24.6,9.5,30.2,0.64,0
station1,01-02-2022,11:40:00,11.4,5.4,0.061,24.67,7.6,29.8,0.61,0
station1,01-02-2022,12:00:00,20.5,5,0.013,24.69,6.8,33.2,0.6,0
station1,01-02-2022,12:20:00,12.5,5.8,0.053,24.7,6.1,29.1,0.72,0
station1,01-02-2022,12:40:00,5,6,0.048,25.13,7.9,21.1,0.72,0
station1,01-02-2022,13:00:00,25,5,0.092,25.15,6.8,29.3,0.66,0
station1,01-02-2022,13:20:00,27.5,5.6,0.089,25.38,12,26.7,0.71,0
station1,01-02-2022,13:40:00,0.9,5.5,0.008,25.82,10.3,24.6,0.68,0
station1,01-02-2022,14:00:00,29.1,5.3,0.089,25.95,8.8,22.4,0.64,0
station1,01-02-2022,14:20:00,3.9,5.4,0.045,25.86,6.7,22.1,0.72,0
station1,01-02-2022,14:40:00,15.3,5,0.091,25.78,11.2,29.9,0.64,0
station1,01-02-2022,15:00:00,17.9,5.4,0.024,25.36,11.2,23.6,0.71,0
station1,01-02-2022,15:20:00,12.3,5.7,0.054,24.99,6.1,29.4,0.74,0
station1,01-02-2022,15:40:00,29.7,5.8,0.05,24.94,9.3,20.6,0.71,0
station1,01-02-2022,16:00:00,8.1,5.2,0.05,24.73,7.2,21.5,0.75,0
station1,01-02-2022,16:20:00,3.9,5.3,0.056,24.53,11.5,32.8,0.69,0
station1,01-02-2022,16:40:00,1,5.5,0.055,24.43,6.5,34.4,0.7,0
station1,01-02-2022,17:00:00,23.6,5.1,0.003,24.38,7,34.4,0.66,0
station1,01-02-2022,17:20:00,29.9,5.7,0.02,24.24,6.6,31.7,0.65,0
station1,01-02-2022,17:40:00,6.5,5.7,0.076,24.18,8.8,31.8,0.75,0
station1,01-02-2022,18:00:00,24.2,6,0.003,24.12,8.8,19.7,0.65,0
station1,01-02-2022,18:20:00,2.6,6,0.065,24.1,7.4,34,0.65,0
station1,01-02-2022,18:40:00,20.5,6,0.092,24.07,9.1,18.7,0.62,0
station1,01-02-2022,19:00:00,27.6,5.3,0.015,24.06,7.7,29.5,0.66,0
station1,01-02-2022,19:20:00,19.7,6,0.051,23.89,9.7,27.3,0.74,0
station1,01-02-2022,19:40:00,21.5,5.9,0.061,23.86,6,27.1,0.62,0
station1,01-02-2022,20:00:00,16.2,5.4,0.028,23.79,8.9,33.6,0.69,0
station1,01-02-2022,20:20:00,19.1,5,0.017,23.71,9.3,26.1,0.74,0
station1,01-02-2022,20:40:00,11.3,5.1,0.09,23.4,10.8,26,0.68,0
station1,01-02-2022,21:00:00,0.3,5.4,0.083,23.24,8,25.9,0.62,0
station1,01-02-2022,21:20:00,22.1,5.2,0.068,23.16,8.9,19.2,0.6,0
station1,01-02-2022,21:40:00,1.7,5.2,0.061,23.14,9.6,28.1,0.65,0
station1,01-02-2022,22:00:00,16.5,5.3,0.092,22.9,11.6,26.7,0.65,0
station1,01-02-2022,22:20:00,21.2,5.3,0.01,22.69,8.9,22.6,0.74,0
station1,01-02-2022,22:40:00,21.2,5.4,0.012,22.67,10,21.5,0.73,0
station1,01-02-2022,23:00:00,22.6,5.6,0.045,22.57,9.9,24.2,0.74,0
station1,01-02-2022,23:20:00,13.3,5.2,0.046,22.44,8.8,19.7,0.7,0
station1,01-02-2022,23:40:00,29.6,5.7,0.098,22.41,12,32.4,0.62,0
station1,01-02-2022,00:00:00,0.9,5.9,0.049,22.67,10.4,32.8,0.66,0
station1,01-02-2022,00:20:00,28.6,5.6,0.022,22.64,8.3,29.2,0.65,0
station1,01-02-2022,00:40:00,14,5.8,0.071,22.5,6.3,32,0.66,0
station1,01-02-2022,01:00:00,5.6,5.4,0.058,22.47,6.4,25,0.66,0
station1,01-02-2022,01:20:00,20.7,5.3,0.018,22.07,10.1,20.6,0.72,0
station1,01-02-2022,01:40:00,7.3,5,0.06,21.88,11.2,23.6,0.67,0
station1,01-02-2022,02:00:00,11.4,5.5,0.022,21.85,6.1,31.9,0.74,0
station1,01-02-2022,02:20:00,9.3,5.5,0.048,21.83,7.2,21.4,0.61,0
station1,01-02-2022,02:40:00,29.5,5.5,0.052,21.59,9.7,21.3,0.6,0
station1,01-02-2022,03:00:00,26.2,5.8,0.081,21.51,9.5,24.2,0.7,0
station1,01-02-2022,03:20:00,22.6,5,0.007,21.46,12,30.7,0.72,0
station1,01-02-2022,03:40:00,14.6,6,0.07,21.38,7,24.3,0.63,0
station1,01-02-2022,04:00:00,25.6,5.3,0.055,21.27,11.4,21.3,0.6,0
station1,01-02-2022,04:20:00,25.5,5.1,0.045,21.24,9.8,28.3,0.7,0
station1,01-02-2022,04:40:00,11.9,5.3,0.023,21.17,9.4,20.6,0.65,0
station1,01-02-2022,05:00:00,6.6,6,0.05,21.14,6.6,29.2,0.66,0
station1,01-02-2022,05:20:00,0.9,5.6,0.044,21.32,9.4,29.7,0.72,0
station1,01-02-2022,05:40:00,19,5.8,0.089,21.7,6.2,27.1,0.71,0
station1,01-02-2022,06:00:00,0.4,5.9,0.006,21.72,7.6,25.3,0.6,0
station1,01-02-2022,06:20:00,6.3,6,0.021,21.78,8.4,32,0.71,0
station1,01-02-2022,06:40:00,25.7,5.8,0.036,21.94,9.8,19.5,0.68,0
station1,01-02-2022,07:00:00,5.4,5.2,0.039,22.03,8.5,24.1,0.72,0
station1,02-02-2022,07:20:00,17.5,6,0.061,22.14,6.2,26.7,0.68,0
station1,02-02-2022,07:40:00,28.4,5,0.05,22.21,8.5,33.6,0.66,0
station1,02-02-2022,08:00:00,10.7,5.8,0.087,22.27,9.8,32.4,0.64,0
station1,02-02-2022,08:20:00,26.7,5.1,0.1,22.52,11.7,20.5,0.63,0
station1,02-02-2022,08:40:00,26.3,5.2,0.077,23.33,10.9,24.4,0.72,0
station1,02-02-2022,09:00:00,14.5,5.7,0.04,23.33,6.8,27.8,0.7,0
station1,02-02-2022,09:20:00,1.5,5.9,0.095,23.43,11.9,29,0.67,0
station1,02-02-2022,09:40:00,0.3,5.1,0.018,23.75,8.2,19.9,0.7,0
station1,02-02-2022,10:00:00,17.4,5.5,0.03,23.76,7.3,20.5,0.65,0
station1,02-02-2022,10:20:00,12.9,5.9,0.093,23.88,9.2,23.3,0.73,0
station1,02-02-2022,10:40:00,1.5,5.8,0.056,23.99,6.4,28.5,0.65,0
station1,02-02-2022,11:00:00,18.9,5.9,0.083,24.02,10.6,31,0.7,0
